Model,Accuracy (%),Parameters,Size (MB),Mean Latency (ms),Median Latency (ms),P95 Latency (ms)
MLP,82.22,101770,0.39037036895751953,0.05143739501818345,0.04724399968836224,0.06771199987269938
CNN-Small,84.93,31530,0.1227273941040039,0.07574027503324032,0.07658000004084897,0.089716900492931
CNN-Large,79.59,206922,0.7929468154907227,0.11677963502279454,0.10849750015040627,0.15785994978614326
